::1 - - [28/Jan/2026:01:42:52 +0000] "GET /api/dashboard/stats HTTP/1.1" 200 523 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:42:52 +0000] "GET /api/outlets HTTP/1.1" 200 866 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:42:52 +0000] "POST /api/outlets HTTP/1.1" 400 54 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:43:52 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:44:02 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:44:10 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:44:18 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:44:37 +0000] "POST /api/auth/login HTTP/1.1" 401 49 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:44:39 +0000] "POST /api/auth/login HTTP/1.1" 429 102 "http://localhost:4173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
::1 - - [28/Jan/2026:01:47:03 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
